"bahasa","daerah"
"http://id.dbpedia.org/resource/Bahasa_Melayu_Kutai_Kota_Bangun","Wilayah tengah cekungan Sungai Mahakam, Kalimantan Timur"
"http://id.dbpedia.org/resource/Bahasa_Batak_Pakpak","Dairi, Pakpak Bharat dan Singkil"
"http://id.dbpedia.org/resource/Rumpun_bahasa_Iban","http://id.dbpedia.org/resource/Kalimantan"
"http://id.dbpedia.org/resource/Rumpun_bahasa_Iban","http://id.dbpedia.org/resource/Sarawak"
"http://id.dbpedia.org/resource/Bahasa_Melayik_Dayak","http://id.dbpedia.org/resource/Kalimantan_Barat"
"http://id.dbpedia.org/resource/Rumpun_bahasa_Bali-Sasak-Sumbawa","http://id.dbpedia.org/resource/Bali"
"http://id.dbpedia.org/resource/Rumpun_bahasa_Bali-Sasak-Sumbawa","http://id.dbpedia.org/resource/Lombok"
"http://id.dbpedia.org/resource/Rumpun_bahasa_Bali-Sasak-Sumbawa","http://id.dbpedia.org/resource/Sumbawa"
"http://id.dbpedia.org/resource/Rumpun_bahasa_Sasak-Sumbawa","http://id.dbpedia.org/resource/Lombok"
"http://id.dbpedia.org/resource/Rumpun_bahasa_Sasak-Sumbawa","http://id.dbpedia.org/resource/Sumbawa"
"http://id.dbpedia.org/resource/Rumpun_bahasa_Jawa","http://id.dbpedia.org/resource/Bali"
"http://id.dbpedia.org/resource/Rumpun_bahasa_Jawa","http://id.dbpedia.org/resource/Jawa"
"http://id.dbpedia.org/resource/Rumpun_bahasa_Jawa","http://id.dbpedia.org/resource/Kaledonia_Baru"
"http://id.dbpedia.org/resource/Bahasa_Konjo_Pesisir","http://id.dbpedia.org/resource/Sulawesi_Selatan"
"http://id.dbpedia.org/resource/Rumpun_bahasa_Seko","http://id.dbpedia.org/resource/Kalimantan_Selatan"
"http://id.dbpedia.org/resource/Rumpun_bahasa_Seko","http://id.dbpedia.org/resource/Sulawesi_Selatan"
"http://id.dbpedia.org/resource/Bahasa_Sanggau","http://id.dbpedia.org/resource/Kalimantan_Barat"
"http://id.dbpedia.org/resource/Bahasa_Benyadu'","http://id.dbpedia.org/resource/Kalimantan_Barat"
"http://id.dbpedia.org/resource/Bahasa_Uab_Meto","http://id.dbpedia.org/resource/West_Timor"
"http://id.dbpedia.org/resource/Bahasa_Muna","http://id.dbpedia.org/resource/Pulau_Buton"
"http://id.dbpedia.org/resource/Bahasa_Muna","http://id.dbpedia.org/resource/Pulau_Muna"
